Rating,Surname,Name,Country,Weight,Sex
170,Moloney, Jason,AU,118,Male
172,Ellis, Rashidi,US,147,Male
173,Garcia, Sergio,ES,154,Male
175,Nakatani, Masayoshi,JP,135,Male
176,Muratalla, Raymond,US,135,Male
177,Soro, Michel,FR,154,Male
178,Clayton, Custio,CA,147,Male
180,Fortuna, Javier,DO,135,Male
181,Ortiz, Jamaine,US,135,Male
182,Cancio, Andrew,US,130,Male
183,Derevyanchenko, Sergiy,UA,160,Male
184,Lara, Erislandy,US,160,Male
186,McKenna, Aaron,IE,160,Male
187,Munguia, Jaime,MX,160,Male
188,Papin, Aleksei,RU,200,Male
189,Rigondeaux, Guillermo,CU,122,Male
190,Ugas, Yordenis ,CU,147,Male
191,Yarde, Anthony ,GB,175,Male
192,Lemieux, David,CA,168,Male
193,Pascal, Jean ,CA,175,Male
194,Pasillas, Vic,US,126,Male
195,Castro, Marc,US,130,Male
196,Fierro, Angel,MX,135,Male
197,Kavaliauskas, Egidijus,LT,147,Male
198,Williamson, Troy,GB,154,Male
200,Avanesyan, David,RU,147,Male
201,Adorno, Joseph,US,135,Male
202,Benn, Conor,GB,147,Male
203,Linares, Jorge,VE,135,Male
204,Lopez, Josesito,US,147,Male
206,Corrales, Jezreel,PA,135,Male
207,Baraou, Abass,DE,154,Male
208,van Heerden, Chris,ZA,147,Male
209,Garcia, Mikey,US,147,Male
211,Baranchyk, Ivan,BY,140,Male
212,Conlan, Michael,IE,126,Male
213,Farmer, Tevin,US,130,Male
214,Ceballo, Brian,US,147,Male
215,Romero, Rolando,US,135,Male
216,Brook, Kell,GB,154,Male
217,Jones III, Otha,US,135,Male
218,James, Jamal,US,147,Male
219,Tagoe, Emmanuel,GH,135,Male
220,Crowley, Cody,CA,147,Male
221,Perrella, Bryant,US,154,Male
222,Gamboa, Yuriorkis,CU,135,Male
223,Cissokho, Souleymane,FR,154,Male
224,Lipinets, Sergey,RU,147,Male
225,Selby, Lee,GB,135,Male
226,Polanco, Rohan,DO,147,Male
229,Williams, Julian,US,154,Male
231,Verdejo, Felix,PR,135,Male
232,Vargas, Jessie,US,154,Male
234,Fitzgerald, Scott,GB,154,Male
235,Walsh, Liam,GB,135,Male
236,Machado, Alberto,PR,135,Male
237,Hughes, Maxi,GB,135,Male
238,Clark, Jamontay,US,154,Male
239,Mbenge, Thulani,ZA,147,Male
241,Patera, Francesco,BE,135,Male
242,Hurd, Jarrett,US,154,Male
243,Hooker, Maurice,US,147,Male
244,Mason, Abdullah,US,135,Male
245,Algieri, Chris,US,147,Male
246,Hernandez, Vladimir,MX,154,Male
247,Kelly, Josh,GB,147,Male
250,Orozco, Antonio,MX,147,Male
251,Booker, Chordale,US,154,Male
252,Cheeseman, Ted,GB,154,Male
