Users;Name of Satellite, Alternate Names;Country of Operator/Owner
Commercial;Dove 3p-53 (0 Flock 3P-53 1007);USA
Commercial;Dove 3p-54  (0 Flock 3P-54 1005);USA
Commercial;Dove 3p-55 (0 Flock 3P-55 1008);USA
Commercial;Dove 3p-56  (0 Flock 3P-46 100F);USA
Commercial;Dove 3p-57 (0 Flock 3P-57 1014);USA
Commercial;Dove 3p-58 (0 Flock 3P-58 1009);USA
Commercial;Dove 3p-59 (0  Flock 3P-59 1045);USA
Commercial;Dove 3p-6 (0 Flock 3P-6 0F35);USA
Commercial;Dove 3p-60 (0 Flock 3P-60 101B);USA
Commercial;Dove 3p-61 (0 Flock 3P-61 1012);USA
Commercial;Dove 3p-62 (0 Flock 3P-62 1046);USA
Commercial;Dove 3p-63 (0 Flock 3P-63 1015);USA
Commercial;Dove 3p-64 (0 Flock 3P-64  100A);USA
Commercial;Dove 3p-65 (0 Flock 3P-65 1040);USA
Commercial;Dove 3p-66 (0 Flock 3P-66 1013);USA
Commercial;Dove 3p-67 (0 Flock 3P-67 1017);USA
Commercial;Dove 3p-68 (0 Flock 3P-68 1004);USA
Commercial;Dove 3p-69 (0 Flock 3P-69 0F43);USA
Commercial;Dove 3p-7 (0 Flock 3P-7 100B);USA
Commercial;Dove 3p-70 (0 Flock 3P-70 0F15);USA
Commercial;Dove 3p-71 (0 Flock 3P-71 0F11);USA
Commercial;Dove 3p-72 (0 Flock 3P-72 0F10);USA
Commercial;Dove 3p-73 (0 Flock 3P-73  0F1B);USA
Commercial;Dove 3p-74 (0 Flock 3P-74 0F22);USA
Commercial;Dove 3p-75  (0 Flock 3P-75 0F12);USA
Commercial;Dove 3p-76 (0 Flock 3P-76 0F17);USA
Commercial;Dove 3p-77 (0 Flock 3P-77 0F28);USA
Commercial;Dove 3p-78  (0 Flock 3P-78 0F51);USA
Commercial;Dove 3p-79 (0 Flock 3P-79 0F52);USA
Commercial;Dove 3p-8  (0 Flock 3P-8  100C);USA
Commercial;Dove 3p-80 (0 Flock 3P-80 0F4E);USA
Commercial;Dove 3p-81 (0 Flock 3P-81 0F25);USA
Commercial;Dove 3p-82 (0 Flock 3P-82 0F41);USA
Commercial;Dove 3p-83 (0 Flock 3P-83 0F3F);USA
Commercial;Dove 3p-84 (0 Flock 3P-84 0F42);USA
Commercial;Dove 3p-85 (0 Flock 3P-85 0F1D);USA
Commercial;Dove 3p-86 (0 Flock 3P-86 0F34);USA
Commercial;Dove 3p-87  (0 Flock 3P-87 0F31);USA
Commercial;Dove 3p-88 (0 Flock 3P-88 0F38);USA
Commercial;Dove 3p-9 (0 Flock 3P-9 1021);USA
Commercial;Dove 3r-1 (0 Flock 3R-1 105A);USA
Commercial;Dove 3r-10 (0 Flock 3R-10 1059);USA
Commercial;Dove 3r-11 (0 Flock 3R-11 1064);USA
Commercial;Dove 3r-12 (0 Flock 3R-12 1066);USA
Commercial;Dove 3r-13 (0 Flock 3R-13 210B);USA
Commercial;Dove 3r-14 (0 Flock 3R-14 210C);USA
Commercial;Dove 3r-15 (0 Flock 3R-15 2107);USA
Commercial;Dove 3r-16 (0 Flock 3R-16 2152);USA
Commercial;Dove 3r-2 (0 Flock 3R-2 105B);USA
Commercial;Dove 3r-3 (0 Flock 3R-3 105D);USA
Commercial;Dove 3r-4 (0 Flock 3R-4 105E);USA
Commercial;Dove 3r-5 (0 Flock 3R-5 105F);USA
Commercial;Dove 3r-6 (0 Flock 3R-6 1057);USA
Commercial;Dove 3r-7 (0 Flock 3R-7 1058);USA
Commercial;Dove 3r-8 (0 Flock 3R-8 1060);USA
Commercial;Dove 3r-9 (0 Flock 3R-9 1061);USA
Commercial;Dove 3s-1 (0 Flock 3S-1 105C);USA
Commercial;Dove 3s-2 (0 Flock 3S-2 2151);USA
Commercial;Dove 3s-3 (0 Flock 3S-3 210D);USA
Commercial;Dove 4a-1 (0 Flock 4a-1 2218);USA
Commercial;Dove 4a-10 (0 Flock 4a-10 2205);USA
Commercial;Dove 4a-11 (0 Flock 4a-11 2223);USA
Commercial;Dove 4a-12 (0 Flock 4a-12 2209);USA
Commercial;Dove 4a-13 (0 Flock 4a-13 220c);USA
Commercial;Dove 4a-14 (0 Flock 4a-14 222c);USA
Commercial;Dove 4a-15 (0 Flock 4a-15 2207);USA
Commercial;Dove 4a-16 (0 Flock 4a-16 222b);USA
Commercial;Dove 4a-17 (0 Flock 4a-17 2212);USA
Commercial;Dove 4a-18 (0 Flock 4a-18 2215);USA
Commercial;Dove 4a-19 (0 Flock 4a-19 2235);USA
Commercial;Dove 4a-2 (0 Flock 4a-2 2201);USA
Commercial;Dove 4a-20 (0 Flock 4a-20 2232);USA
Commercial;Dove 4a-3 (0 Flock 4a-3 2206);USA
Commercial;Dove 4a-4 (0 Flock 4a-4 2220);USA
Commercial;Dove 4a-6 (0 Flock 4a-6 220b);USA
Commercial;Dove 4a-7 (0 Flock 4a-7 222d);USA
Commercial;Dove 4a-8 (0 Flock 4a-8 2213);USA
Commercial;Dove 4a-9 (0 Flock 4a-9 2224);USA
Commercial;Dove 4p-1 (0 Flock 4p-1 2277);USA
Commercial;Dove 4p-10 (0 Flock 4p-10 2233);USA
Commercial;Dove 4p-11 (0 Flock 4p-11 2231);USA
Commercial;Dove 4p-2 (0 Flock 4p-3 2278);USA
Commercial;Dove 4p-3 (0 Flock 4p-3 2304 );USA
Commercial;Dove 4p-4 (0 Flock 4p-4 2310);USA
Commercial;Dove 4p-5 (0 Flock 4p-5 2259);USA
Commercial;Dove 4p-6 (0 Flock 4p-6 2263);USA
Commercial;Dove 4p-7 (0 Flock 4p-7 222F);USA
Commercial;Dove 4p-8 (0 Flock 4p-8 2275);USA
Commercial;"Dove 4p-9 (0 Flock 4p-9 2257)
Dove 4p-10 -- 2019-081E 
Dove 4p-11 – 2019-081F 
Dove 4p-12 – 2019-081G 
Dove 4p-4 -- 2019-081H 
Dove 4p-3 -- 2019-081J 
Dove 4p-2 – 2019-081K 
Dove 4p-1 -- 2019-081L 
Dove 4p-8 -- 2019-081M 
Dove 4p-7 -- 2019-081N 
Dove 4p-6 – 2019-081P 
Dove 4p-5 -- 2019-081Q 
";USA
Commercial;Dove-4a-5 (0 Flock 4a-5 2227);USA
Government;DRTS (Data Relay Test Satellite, Kodama);Japan
Military;DSCS III-A3 (USA 167, DSCS III-A3) (Defense Satellite Communications System);USA
Military;DSCS III-B6 (USA 170, DSCS III B-6) (Defense Satellite Communications System);USA
Military;DSCS III-F10 (USA 135, DSCS III B-13) (Defense Satellite Communications System);USA
Military;DSCS III-F11 (USA 148, DSCS III B-8) (Defense Satellite Communications System);USA
Military;DSCS III-F12 (USA 153, DSCS III B-11) (Defense Satellite Communications System);USA
Military;DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System);USA
Military;DSP 18 (USA 130) (Defense Support Program);USA
Military;DSP 20 (USA 149) (Defense Support Program);USA
Military;DSP 21 (USA 159) (Defense Support Program);USA
Military;DSP 22 (USA 176) (Defense Support Program);USA
Commercial;D-Star ONE Sparrow;Germany
Military;DSX (Demonstration and Science Experiments);USA
Government;DubaiSat-2;United Arab Emirates
Civil;Duchifat-1;Israel
Civil;Duchifat-3;Israel
Commercial;DX-1 (Dauria Experimental 1);Russia
Commercial;Eagle-1 (AMC-3, Americom 3, GE-3);USA
Commercial;Eaglet-1;Italy
Government;EcAMSat (E. coli Anti Microbial Satellite);USA
Commercial;Echostar 10;USA
Commercial;Echostar 11;USA
Commercial;Echostar 14;USA
Commercial;Echostar 15;USA
Commercial;Echostar 16;USA
Commercial;Echostar 17;USA
Commercial;Echostar 18;USA
Commercial;Echostar 19;USA
Commercial;Echostar 21 (TerreStar 2);USA
Commercial;Echostar 23;USA
Commercial;Echostar 7 ;USA
Commercial;Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13);USA
Commercial;Echostar G1 (ICO G1, DBSD G1);USA
Civil;Ecuador-UTE;Ecuador
Commercial;EDRS-C (European Data Relay System-C);ESA
Government;EgyptSat-A ;Egypt
Military;EKS-1 (Integrated Space System, Cosmos 2510, Tundra 11L);Russia
Military;EKS-2 (Integrated Space System, Cosmos 2518, Tundra 12L);Russia
Military;EKS-3 (Integrated Space System, Cosmos 2541, Tundra 13L) ;Russia
Commercial;El Camino Real (Momentus X1);USA
Government;Electro-L1 (GOMS 2 [Geostationary Operational Meteorological Satellite 2];Russia
Government;Electro-L2 ;Russia
Government;Electro-L3;Russia
Commercial/Civil;ELFIN-A;USA
Commercial/Civil;ELFIN-Star;USA
Military;ELISA-E12 (ELectronic Intelligence by SAtellite);France
Military;ELISA-E24 (ELectronic Intelligence by SAtellite);France
Military;ELISA-W11 (ELectronic Intelligence by SAtellite);France
Military;ELISA-W23 (ELectronic Intelligence by SAtellite);France
Military;EMISat (Electromagnetic Intelligence-gathering Satellite);India
Military;EMKA-1 (Cosmos  2525, Experimental  Spacecraft);Russia
Government;EOS-AM Terra ;USA/Canada/Japan
Government;EOS-CHEM Aura ;USA
Government;EOS-PM Aqua (Advanced Microwave Scanning Radiometer for EOS, EOS PM-1);USA/Japan/Brazil
Government;EquiSat;USA
Government;ERG (Exploration of Energization and Radiation in Geospace, Arase);Japan
Military/Commercial;EROS B1 (Earth Resources Observation Satellite);Israel
Civil;ESEO (European Student Earth Orbiter);ESA
Commercial;Es'hail-1;Multinational
Military/Commercial;Es'hail-2;Qatar
Government;E-TBEx A (Enhanced Tandem Beacon Experiment);USA
Government;E-TBEx B (Enhanced Tandem Beacon Experiment);USA
Government;ETRSS-1;Ethiopia
Government;Eu:CROPIS (Euglena and Combined Regenerative Organic-Food Production in Space);Germany
Commercial;Eutelsat 10A (Eutelsat W-2A);Multinational
Commercial;Eutelsat 113 West A (Satmex 6);Multinational
Commercial;Eutelsat 115 West B;Multinational
Commercial;Eutelsat 117 West A (Eutelsat 8 West C, Satmex 8);Multinational
Commercial;Eutelsat 117 West B (Satmex 9);Multinational
Commercial;Eutelsat 12 West B (Eutelsat 8 West A, Atlantic Bird 2) ;Multinational
Commercial;Eutelsat 133 West A (Eutelsat 33C, Eutelsat 28A, Eurobird 1, Eurosat 1);Multinational
Commercial;Eutelsat 16A (Eutelsat W3C);Multinational
Commercial;Eutelsat 172B;Multinational
Commercial;Eutelsat 174A (GE-23, AMC-23, Worldsat 3, Americom 23);Multinational
Commercial;Eutelsat 21B (Eutelsat 48B, Eutelsat W-6A);Multinational
Commercial;Eutelsat 33E (Hot Bird  13D, Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A);Multinational
Commercial;Eutelsat 36A (Eutelsat 48E, Eutelsat W-4) ;Multinational
Commercial;Eutelsat 36B (Eutelsat W-7);Multinational
Commercial;Eutelsat 3B;Multinational
Commercial;Eutelsat 5 West A (Atlantic Bird 3, Stellat 5);Multinational
Commercial;Eutelsat 5 West B;Multinational
Commercial;Eutelsat 65 West A;Multinational
Commercial;Eutelsat 7 West A (Atlantic Bird 7);Multinational
Commercial;Eutelsat 70B (Eutelsat W5A);Multinational
Commercial;Eutelsat 7A (Eutelsat W3A) ;Multinational
Commercial;Eutelsat 7B ;Multinational
Commercial;Eutelsat 7C;Multinational
Commercial;Eutelsat 8 West B;Multinational
Commercial;Eutelsat 9B (Hot Bird 13E);Multinational
Commercial;Eutelsat Hot Bird 13B (Hot Bird 8);Multinational
Commercial;Eutelsat Hot Bird 13C (Hot Bird 9);Multinational
Commercial;Eutelsat Hot Bird 13E (Eutelsat 9A, Eurobird 9A, Hot Bird 7A);Multinational
Commercial;Eutelsat KA-SAT 9A (KA-SAT);Multinational
Commercial;Eutelsat Konnect;Multinational
Commercial;exactView 1;Canada
Commercial;exactView 6 (AprizeSat 6);Canada
Commercial;exactView 9;Canada
Military;eXCITE (eXperiment for Cellular Integration Technology);USA
Commercial;Exoconnect (D-Star One);Germany
Commercial;Express AMU1 (Eutelsat 36C);Russia
Commercial;Express-AM3;Russia
Commercial;Express-AM33;Russia
Commercial;Express-AM44;Russia
Commercial;Express-AM5;Russia
Commercial;Express-AM6 (Eutelsat 53A);Russia
Commercial;Express-AM7;Russia
Commercial;Express-AM8;Russia
Commercial;Express-AT1;Russia
Commercial;Express-AT2;Russia
Commercial;ExSeedSat-1 (Vusat Oscar 96, VO96);India
Government;Eyesat;ESA
Military;FACSAT-1 ;Colombia
Military/Civil;Falconsat-3;USA
Military/Civil;Falconsat-6;USA
Military/Civil;Falconsat-7;USA
Military/Civil;FAST 1 (Sara Lilly and Emma, USA 222);USA
Commercial;Fengmaniu-1 (FMN-1);China
Government;Fengniao 1A (Hummingbird 1A);China
Government;Fengyun 2F (FY-2F);China
Government;Fengyun 2G (FY 2G);China
Government;Fengyun 2H (FY 2H);China
Government;Fengyun 3B (FY-3B);China
Government;Fengyun 3C (FY-3C);China
Government;Fengyun 3D (FY-3D);China
Government;Fengyun 4A (FY 4A);China
Government;Fermi Gamma-Ray Space Telescope (formerly GLAST);USA
Military;FIA Radar 1 (Future Imagery Architecture (FIA) Radar 1, NROL-41, USA 215, Topaz);USA
Military;FIA Radar 2 (Future Imagery Architecture (FIA) Radar 2, NROL-25, USA 234, Topaz);USA
Military;FIA Radar 3 (Future Imagery Architecture (FIA) Radar 3, NROL-39 , USA 247, Topaz);USA
Military;FIA Radar 4 (Future Imagery Architecture (FIA) Radar 4, NROL-45, USA 267, Topaz);USA
Military;FIA Radar 5 (Future Imagery Architecture (FIA) Radar 5, NROL-47, USA 281, Topaz);USA
Government/Civil;Firebird-C (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics);USA
Government/Civil;Firebird-D (Focused Investigations of Relativistic Electron Burst, Intensity, Range, and Dynamics);USA
Civil;FloripaSat-1;Brazil
Civil;FLP (Flying Laptop);Germany
Military;FLTSATCOM-8 (USA 46);USA
Government;FormoSat-5;Taiwan
Government;FORTÉ (Fast On-orbit Recording of Transient Events);USA
Commercial;Fossasat-1;Spain
Civil;Fox-1A (AO-85);USA
Civil;Fox-1Cliff (AO 95);USA
Civil;Fox-1D (AO-92);USA
Civil;FUNCube-1 (AO-73);Netherlands
Commercial;Galaxy-11;USA
Commercial;Galaxy-12;USA
Commercial;Galaxy-13 (Horizons 1, Galaxy 13L);USA/Japan
Commercial;Galaxy-14;USA
Commercial;Galaxy-15;USA
Commercial;Galaxy-16 ;USA
Commercial;Galaxy-17;USA
Commercial;Galaxy-18;USA
Commercial;Galaxy-19;USA
Commercial;Galaxy-25 (G-25, Intelsat 1A-5, Telstar 5);USA
Commercial;Galaxy-28 (G-28, Intelsat IA-8, Telstar 8);USA
Commercial;Galaxy-3C;USA
Commercial;Galileo FOC FM1 (0201, Galileo 5, PRN E18);ESA
Commercial;Galileo FOC FM10 (0210, Galileo 13, PRN E01);ESA
Commercial;Galileo FOC FM11 (0211, Galileo 14, PRN E02);ESA
Commercial;Galileo FOC FM12 (0212, Galileo 16);ESA
Commercial;Galileo FOC FM13 (0213, Galileo 17);ESA
Commercial;Galileo FOC FM14 (0214, Galileo 18);ESA
Commercial;Galileo FOC FM15 (0215, Galileo 19);ESA
Commercial;Galileo FOC FM16 (0216, Galileo 20);ESA
Commercial;Galileo FOC FM17 (0217, Galileo 21);ESA
Commercial;Galileo FOC FM18 (0218, Galileo 22);ESA
Commercial;Galileo FOC FM19 (0219, Galileo 23);ESA
Commercial;Galileo FOC FM2 (0202, Galileo 6, PRN E14);ESA
Commercial;Galileo FOC FM20 (0220, Galileo 24);ESA
Commercial;Galileo FOC FM21 (0221, Galileo 25);ESA
Commercial;Galileo FOC FM22 (0222, Galileo 26);ESA
Commercial;Galileo FOC FM3 (0203, Galileo 7, PRN E26);ESA
Commercial;Galileo FOC FM4 (0204, Galileo 8, PRN E22);ESA
Commercial;Galileo FOC FM5 (0205, Galileo 9, PRN E24);ESA
Commercial;Galileo FOC FM6 (0206, Galileo 10, PRN E30);ESA
Commercial;Galileo FOC FM7 (0207, Galileo 15);ESA
Commercial;Galileo FOC FM8 (0208, Galileo 11, PRN E08);ESA
Commercial;Galileo FOC FM9 (0209, Galileo 12, E09);ESA
Commercial;Galileo IOV-1 FM2 (0102, PRN E12);ESA
Commercial;Galileo IOV-1 PFM (0101, PRN E11);ESA
Commercial;Galileo IOV-2 FM3 (0103, PRN E19);ESA
Commercial;Galileo IOV-2 FM4 (0104, PRN E20);ESA
Government;Gaofen 1;China
Government;Gaofen 10;China
Military;Gaofen 11;China
Government;Gaofen 12;China
Government;Gaofen 2;China
Government;Gaofen 3 ;China
Government;Gaofen 4;China
Government;Gaofen 7;China
Military;Gaofen 8;China
Government;Gaofen 9;China
Government;Gaofen-1-02;China
Government;Gaofen-1-03;China
Government;Gaofen-1-04;China
Government;Gaofen-1-05;China
Government;Gaofen-1-06;China
Military;Garpun-1 (Cosmos 2473);Russia
Military;Garpun-12L (Cosmos 2513);Russia
Commercial;GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance);Denmark
Government;GCOM-C (Global Change Observation Mission Climate, Shikisai);Japan
Government;GEARRSAT-2 (Globalstar Experiment And Risk Reduction Satellite);USA
Commercial;Genesis-1;USA
Commercial;Genesis-2;USA
Military;GEO IK2 12L (Cosmos 2517);Russia
Military;GEO IK2 13L (Cosmos 2540);Russia
Government/Commercial;GeoEye-1 (Orbview 5);USA
Government;GEO-Kompsat-2A;South Korea
Government;GEO-Kompsat-2B;South Korea
Government;Geotail (Geomagnetic Tail Laboratory);Multinational
Commercial;GHGSat-D (Greenhouse Gas Satellite - Demonstrator, Claire);Canada
Government;Global Change Observation Mission - 1 Water (GCOM-1, Shikuzu);USA/Japan
Commercial;Globalstar M037 (Globalstar 16);USA
Commercial;Globalstar M065 (Globalstar 65);USA
Commercial;Globalstar M066 (Globalstar 66);USA
Commercial;Globalstar M067 (Globalstar 67);USA
Commercial;Globalstar M069 (Globalstar 69);USA
Commercial;Globalstar M070 (Globalstar 70);USA
Commercial;Globalstar M071 (Globalstar 71);USA
Commercial;Globalstar M072 (Globalstar 72);USA
Commercial;Globalstar M073 (Globalstar 73, Globalstar 2-6);USA
Commercial;Globalstar M074 (Globalstar 74, Globalstar 2-2);USA
Commercial;Globalstar M075 (Globalstar 75, Globalstar 2-5);USA
Commercial;Globalstar M076 (Globalstar 76, Globalstar 2-3);USA
Commercial;Globalstar M077 (Globalstar 77, Globalstar 2-4);USA
Commercial;Globalstar M078 (Globalstar 95, Globalstar 2-23);USA
Commercial;Globalstar M079 (Globalstar 79, Globalstar 2-1);USA
Commercial;Globalstar M080 (Globalstar 80, Globalstar 2-14);USA
Commercial;Globalstar M081 (Globalstar 81, Globalstar 2-11);USA
Commercial;Globalstar M082 (Globalstar 82, Globalstar 2-15);USA
Commercial;Globalstar M083 (Globalstar 83, Globalstar 2-7);USA
Commercial;Globalstar M084 (Globalstar 84, Globalstar 2-13) ;USA
Commercial;Globalstar M085 (Globalstar 85, Globalstar 2-10);USA
Commercial;Globalstar M086 (Globalstar 86, Globalstar 2-18);USA
Commercial;Globalstar M088 (Globalstar 88, Globalstar 2-8);USA
Commercial;Globalstar M089 (Globalstar 89, Globalstar 2-12);USA
Commercial;Globalstar M090 (Globalstar 90, Globalstar 2-17);USA
Commercial;Globalstar M091 (Globalstar 91, Globalstar 2-9);USA
Commercial;Globalstar M092 (Globalstar 92, Globalstar 2-16);USA
Commercial;Globalstar M093 (Globalstar 87, Globalstar 2-20);USA
Commercial;Globalstar M094 (Globalstar 93, Globalstar 2-21);USA
Commercial;Globalstar M095 (Globalstar 96, Globalstar 2-24);USA
Commercial;Globalstar M096 (Globalstar 94, Globalstar 2-22);USA
Commercial;Globalstar M097 (Globalstar 78, Globalstar 2-19);USA
Military/Commercial;Glonass 701 (Glonass-K, Cosmos 2471);Russia
Military/Commercial;Glonass 702 (Glonass K, Cosmos 2501);Russia
Military/Commercial;Glonass 716 (Glonass 35-2, Cosmos 2425);Russia
Military/Commercial;Glonass 717 (Glonass 35-3, Cosmos 2426);Russia
Military/Commercial;Glonass 719 (Glonass 36-2, Cosmos 2432);Russia
Military/Commercial;Glonass 720 (Glonass 36-3, Cosmos 2433);Russia
Military/Commercial;Glonass 721 (Glonass 37-1, Cosmos 2435);Russia
Military/Commercial;Glonass 723 (Glonass 37-3, Cosmos 2436);Russia
Military/Commercial;Glonass 730 (Glonass 41-1, Cosmos 2456);Russia
Military/Commercial;Glonass 731 (Glonass 42-1, Cosmos 2459);Russia
Military/Commercial;Glonass 732 (Glonass 42-3, Cosmos 2460);Russia
Military/Commercial;Glonass 733 (Glonass 41-2, Cosmos 2457);Russia
Military/Commercial;Glonass 735 (Glonass 42-2, Cosmos 2461);Russia
Military/Commercial;Glonass 736 (Glonass 43-1, Cosmos 2464);Russia
Military/Commercial;Glonass 742 (Glonass-M, Cosmos 2474);Russia
Military/Commercial;Glonass 743 (Glonass 44-2, Cosmos 2476);Russia
Military/Commercial;Glonass 744 (Glonass 44-3, Cosmos 2477);Russia
Military/Commercial;Glonass 745 (Glonass 44-1, Cosmos 2475);Russia
Military/Commercial;Glonass 747 (Glonass-M, Cosmos 2485);Russia
Military/Commercial;Glonass 751 (Glonass-M, Cosmos 2514);Russia
Military/Commercial;Glonass 752 (Glomass-M, Cosmos 2522);Russia
Military/Commercial;Glonass 753 (Glonass-M, Cosmos 2516);Russia
Military/Commercial;Glonass 755 (Glonass-M, Cosmos 2500);Russia
Military/Commercial;Glonass 756 (Glonass-M, Cosmos 2527);Russia
Military/Commercial;Glonass 757 (Glonass-M, Cosmos 2529);Russia
Military/Commercial;Glonass 758 (Glonass-M, Cosmos 2534);Russia
Military/Commercial;Glonass 759 (Glonass-M, Cosmos 2544);Russia
Military/Commercial;Glonass 760 (Glonass-M, Cosmos 2545);Russia
Military;GOES 13 (Geostationary Operational Environmental Satellite, GOES-N);USA
Government;GOES 14 (Geostationary Operational Environmental Satellite, GOES-O);USA
Government;GOES 15 (Geostationary Operational Ennvironmental Satellite, GOES-P);USA
Government;GOES 16 (Geostationary Operational Environmental Satellite GOES-R);USA
Government;GOES 17 (Geostationary Operational Environmental Satellite GOES-S);USA
Military;Göktürk 1;Turkey
Military;Göktürk 2;Turkey
Military;GomX-4A;Denmark
Government;GomX-4B;Denmark
Government/Commercial;Gonets M-03;Russia
Government/Commercial;Gonets M-04;Russia
Government/Commercial;Gonets M-05;Russia
Government/Commercial;Gonets M-11 (Gonets M21);Russia
Government/Commercial;Gonets M-12 (Gonets M22);Russia
Government/Commercial;Gonets M-13 (Gonets M23);Russia
Government/Commercial;Gonets M-14;Russia
Government/Commercial;Gonets M-16;Russia
Government/Commercial;Gonets M-17;Russia
Government/Commercial;Gonets M-18;Russia
Government/Commercial;Gonets M-19;Russia
Government/Commercial;Gonets M-20;Russia
Government/Commercial;Gonets M-24;Russia
Government/Commercial;Gonets M-25;Russia
Government/Commercial;Gonets M-26;Russia
Government;"GOSAT-2 (Greenhouse gases Observing Satellite-2; Ibuki-2)";Japan
Government/Military;GovSat-1 (SES-16);Luxembourg
Government;GPIM (Green Propellant Infusion Mission);USA
Government;GPM Core Observatory (Global Precipitation Measurement);USA/Japan
Government;Grace Follow-on-1 (Gravity Recovery and Climate Experiment Follow-on-1);USA/Germany
Government;Grace Follow-on-2 (Gravity Recovery and Climate Experiment Follow-on-2);USA/Germany
Government;Greenhouse Gases Observing Satellite (Ibuki, GoSAT);Japan
Government/Civil;GRIFEX (GEO-CAPE ROIC In-Flight Performance Experiment);USA
Commercial;GRUS-1 ;Japan
Government;GSAT-10;India
Government;GSAT-11;India
Government;GSAT-12;India
Government;GSAT-14;India
Government;GSAT-15;India
Government;GSAT-16;India
Government;GSAT-17;India
Government;GSAT-18;India
Government;GSAT-19E;India
Government;GSAT-29;India
Government;GSAT-30;India
Government;GSAT-31;India
Government/Commercial;GSAT-6 (Insat 4-E);India
Military;GSAT-7;India
Military;GSAT-7A;India
Government;GSAT-8;India
Military;GSSAP 1 (Geosynchronous Space Situational Awareness Program, USA 253);USA
Military;GSSAP 2 (Geosynchronous Space Situational Awareness Program, USA 254);USA
Military;GSSAP 3 (Geosynchronous Space Situational Awareness Program, USA 270);USA
Military;GSSAP 4 (Geosynchronous Space Situational Awareness Program, USA 271);USA
Government;Haiyang 1C (HY 1C);China
Government;Haiyang 2A (HY 2A);China
Government;Haiyang 2B (HY 2B);China
Government;HaloSat;USA
Commercial;Hawk-A (HawkEye 360 Pathfinder 1);USA
Commercial;Hawk-B (HawkEye 360 Pathfinder 2);USA
Commercial;Hawk-C (HawkEye 360 Pathfinder 3);USA
Commercial;HEAD-1 ;China
Commercial;HEAD-2A;China
Commercial;HEAD-2B;China
Military;Helios 2A ;France/Italy/Belgium/Spain/Greece
Military;Helios 2B;France/Italy/Belgium/Spain/Greece
Commercial;Hellas-Sat 2 (Intelsat K-TV, NSS K-TV);Greece
Commercial;Hellas-Sat 3/INMARSAT S EAN;Greece/United Kingdom
Commercial/Government;Hellas-Sat 4/SGS-1 (Saudi Geostationary Satellite 1);Greece
Government/Civil;HESSI (RHESSI, Reuven Ramaty High Energy Solar Spectroscopic Imager);USA
Commercial;Hiber-1;Netherlands
Commercial;Hiber-2;Netherlands
Government;Himawari 8;Japan
Government;Himawari 9;Japan
Government;Hinode (Solar B);Multinational
Government;Hisaki (Sprint A, Spectroscopic Planet Observatory for Recognition of Interaction of Atmosphere);Japan
Government/Commercial/Military;Hispasat 1D ;Spain
Commercial;Hispasat 1E;Spain
Commercial;Hispasat 30W-6 (Hispasat 1F);Spain
Commercial;Hispasat 36W-1 (Hispasat AG1);Spain
Government;HJ-1A (Huan Jing 1A);China
Government;HJ-1B (Huan Jing 1B);China
Government;HJ-1C (Huan Jing 1C);China
Government;Hodoyoshi-1 ;Japan
Government;Hodoyoshi-3;Japan
Government;Hodoyoshi-4;Japan
Government;Hongyan-1 (Chongqing);China
Commercial;Hongyun-1 (Hongyun Gongcheng JYW);China
Commercial;Horizons 2;USA/Japan
Commercial;Horizons 3e;USA/Japan
Civil;Horyu-2 (High Voltage Technology Demonstration Satellite-2);Japan
Commercial;HSAT-1;USA
Commercial;Huangpu-1;China
Government;Hubble Space Telescope (HST, Space Telescope);ESA/USA
Civil;Huia'an (Zhou Enlai);China
Civil;Huskysat-1;USA
Government;HXMT (Hard X-ray Modulation Telescope, Insight);China
Commercial;HYLAS  4 (Highly Adaptable Satellite);United Kingdom
Commercial;HYLAS 1 (Highly Adaptable Satellite);United Kingdom
Commercial;HYLAS 2 (Highly Adaptable Satellite);United Kingdom
Government;HySIS (Hyperspectral Imaging Satellite);India
Government;Icesat-2;USA
Commercial;ICEYE-X1 (ICEYE POC 1);Finland
Commercial;ICEYE-X2 (ICEYE POC 2);Finland
Military;ICEYE-X3 (ICEYE POC 3);USA
Commercial;ICEYE-X4 (ICEYE POC 4);Finland
Commercial;ICEYE-X5 (ICEYE POC 5);Finland
Government;ICON (Ionospheric Connection Explorer) ;USA
Government;IGS Optical 5 (IGS-9B, Information Gathering Satellite 9B);Japan
Government;IGS Optical 6 (IGS-10B, Information Gathering Satellite 10B);Japan
Government;IGS Optical 7 (IGS-11B Information Gathering Satellite 14);Japan
Government;IGS Radar 5 (Information Gathering Satellite 10A);Japan
Government;IGS Radar 6 (Information Gathering Satellite 6, IGS Radar 6);Japan
Government;IGS-5A (Information Gathering Satellite 5A, IGS Optical 3);Japan
Government;IGS-6A (Information Gathering Satellite 6A, IGS Optical 4);Japan
Government;IGS-7A (Information Gathering Satellite 7A, IGS Radar 3);Japan
Government;IGS-8A (Information Gathering Satellite 8A, IGS Radar 4);Japan
Government;IGS-8B (Information Gathering Satellite 8B, IGS Optical 5 Demonstrator);Japan
Government;IGS-9A (Information Gathering Satellite 9A, IGS Radar Spare);Japan
