Users;Name of Satellite, Alternate Names;Country of Operator/Owner
Government/Military;Athena-Fidus  (Access on THeatres for European Nations Allied forces - French Italian Dual Use Satellite);France/Italy
Commercial;Athenoxat-1 ((Athene Noctua Experimental Satellite) ;Singapore
Commercial;ATL-1 (Advanced Technology of Laser, Magyar-OSCAR 106, MO-106);Hungary
Commercial;Aurora  (Tabletsat-2U-EO);Russia
Government;Azerspace 1/Africasat-1a;Azerbaijan
Government;Azerspace 2/Intelsat-38;Azerbaijan
Government/Civil;AztecSat-1;USA/Mexico
Government;Badr 4 (Arabsat 4B);Multinational
Government;Badr 5 (Arabsat 5B);Multinational
Government;Badr 5A (Arabsat 5A);Multinational
Government;Badr 6 (Arabsat 4AR);Multinational
Government;Badr 7 (Arabsat 6B);Multinational
Government;Bangabandhu 1 ;Bangladesh
Military;BARS-M (Cosmos 2503);Russia
Military;BARS-M (Cosmos 2515);Russia
Commercial;BDSAGR-1;China
Civil;Beesat-9 (Tubsat-17);Germany
Military/Government;Beidou 2-12 (Compass M3);China
Military/Government;Beidou 2-13 (Compass M4);China
Military/Government;Beidou 2-15 (Compass M6);China
Military/Government;Beidou 2-16 (Compass G-6);China
Military/Government;Beidou 2-17 (IGSO-6);China
Military/Government;Beidou 2-18 (Compass G-7);China
Military/Government;Beidou 3I-1S;China
Military/Government;Beidou 3I-2S;China
Military/Government;Beidou 3M1 ;China
Military/Government;Beidou 3M1 (Beidou 23);China
Military/Government;Beidou 3M1 (Beidou 24);China
Military/Government;Beidou 3M1 (Beidou 25);China
Military/Government;Beidou 3M-1S;China
Military/Government;Beidou 3M-2S;China
Military/Government;Beidou 3M-3S;China
Military/Government;Beidou DW 26;China
Military/Government;Beidou DW 27;China
Military/Government;Beidou DW 28;China
Military/Government;Beidou DW 29;China
Military/Government;Beidou DW 30;China
Military/Government;Beidou DW 31;China
Military/Government;Beidou DW 32;China
Military/Government;Beidou DW 33;China
Military/Government;Beidou DW 34;China
Military/Government;Beidou DW 35;China
Military/Government;Beidou DW 36;China
Military/Government;Beidou DW 37;China
Military/Government;Beidou DW 38;China
Military/Government;Beidou DW 39;China
Military/Government;Beidou DW 40;China
Military/Government;Beidou DW 41;China
Military/Government;Beidou DW 42;China
Military/Government;Beidou DW 43;China
Military/Government;Beidou DW 44;China
Military/Government;Beidou DW 45;China
Military/Government;Beidou DW 46;China
Military/Government;Beidou DW 50;China
Military/Government;Beidou DW 51;China
Military/Government;Beidou DW 52;China
Military/Government;Beidou DW 53;China
Military/Government;Beidou G1 (Compass G-1);China
Military/Government;Beidou G3 (Compass G-3);China
Military/Government;Beidou G4 (Compass G-4);China
Military/Government;Beidou G5 (Compass G-11);China
Military/Government;Beidou IGSO-1 (Compass G-5);China
Military/Government;Beidou IGSO-2 (Compass G-7);China
Military/Government;Beidou IGSO-3 (Compass G-8);China
Military/Government;Beidou IGSO-4 (Compass G-9);China
Military/Government;Beidou IGSO-5 (Compass G-10);China
Commercial;BeijingGalaxy-1 (Beijing 1 [Tsinghua], Tsinghau-2, China DMC+4);China
Government;Belintersat-1;Belarus
Government;Bhutan-1 (Birds-2);Bhutan
Government/Civil;Bird 2 (Bispectral InfraRed Detector 2);Germany
Government;BIROS (Bispectral Infrared Optical System);Germany
Civil;BisonSat (Nwist Qwiqway);USA
Government;BKA 2 (BelKA 2);Belarus
Commercial;BlackSky Global 1;USA
Commercial;BlackSky Global 2;USA
Commercial;BlackSky Global 3;USA
Commercial;BlackSky Global 4;USA
Commercial;BlackSky Pathfinder 1;USA
Military/Commercial;Blagovest-11L (Cosmos 2520);Russia
Military/Commercial;Blagovest-12L (Cosmos 2526);Russia
Military/Commercial;Blagovest-13L (Cosmos 2533);Russia
Military/Commercial;Blagovest-14L (Cosmos 2539);Russia
Commercial;Bluewalker 1;Lithuania
Commercial;Brazilsat B-4 (Brasilsat B-4);Brazil
Civil;BRICSat-2 (Ballistically Reinforced Communication Satellite, Navy-Oscar-103);USA
Commercial;BRIO ;USA
Commercial;BRISat;Indonesia
